transaction_id,customer_id,timestamp,amount,currency,country,merchant_category,channel,device_id,is_fraud
T0000038,C00444,2025-09-14 13:30:37.227951,93.29,USD,DE,RESTAURANT,MOBILE,D0097,0
T0000039,C00016,2025-09-17 02:37:10.227951,112.58,USD,US,GROCERIES,POS,D0240,0
T0000040,C00360,2025-11-23 18:30:59.227951,81.89,USD,US,RESTAURANT,ATM,D0388,0
T0000041,C00250,2025-10-21 03:03:48.227951,17.06,USD,US,GROCERIES,POS,D0053,0
T0000042,C00009,2025-11-06 01:12:18.227951,2.59,USD,MX,CLOTHING,ONLINE,D0232,0
T0000043,C00209,2025-09-24 00:58:40.227951,14.38,USD,CN,CRYPTO_EXCHANGE,ONLINE,D0053,1
T0000044,C00217,2025-09-17 04:46:14.227951,32.74,USD,US,ELECTRONICS,POS,D0195,0
T0000045,C00255,2025-11-04 17:14:57.227951,76.51,USD,CA,RESTAURANT,MOBILE,D0010,0
T0000046,C00299,2025-10-26 00:41:24.227951,23.96,USD,MX,GROCERIES,POS,D0168,0
T0000047,C00004,2025-12-02 00:31:24.227951,131.22,USD,US,UTILITY_BILL,ATM,D0187,0
T0000048,C00318,2025-11-15 16:33:05.227951,27.54,USD,US,GROCERIES,ATM,D0318,0
T0000049,C00232,2025-09-26 23:57:59.227951,17.07,USD,MX,ONLINE_SUBSCRIPTION,ATM,D0241,0
T0000050,C00145,2025-10-13 04:37:01.227951,8.36,USD,US,ONLINE_SUBSCRIPTION,ATM,D0182,0
T0000051,C00266,2025-09-28 08:47:45.227951,5.54,USD,DE,TRAVEL,ATM,D0043,0
T0000052,C00441,2025-09-12 01:13:46.227951,13.9,USD,US,GROCERIES,ATM,D0124,0
T0000053,C00462,2025-09-19 00:13:33.227951,43.7,USD,GB,GROCERIES,POS,D0062,0
T0000054,C00228,2025-09-16 10:55:15.227951,15.83,USD,CN,GROCERIES,POS,D0022,0
T0000055,C00215,2025-10-29 06:19:59.227951,55.3,USD,DE,ELECTRONICS,POS,D0202,0
T0000056,C00369,2025-11-23 19:28:23.227951,9.76,USD,CN,GROCERIES,POS,D0095,0
T0000057,C00115,2025-09-28 12:08:22.227951,96.87,USD,US,ELECTRONICS,POS,D0150,0
T0000058,C00463,2025-10-23 04:46:07.227951,6.6,USD,US,ATM_WITHDRAWAL,POS,D0370,0
T0000059,C00345,2025-09-14 23:32:48.227951,50.78,USD,US,UTILITY_BILL,MOBILE,D0321,0
T0000060,C00290,2025-11-15 05:08:02.227951,21.17,USD,CN,TRAVEL,POS,D0214,0
T0000061,C00162,2025-10-22 08:11:02.227951,87.49,USD,IN,CLOTHING,POS,D0256,0
T0000062,C00125,2025-09-30 01:01:23.227951,13.85,USD,GB,CLOTHING,ONLINE,D0093,0
T0000063,C00170,2025-10-09 03:17:16.227951,47.65,USD,US,RESTAURANT,POS,D0274,0
T0000064,C00118,2025-10-02 18:42:56.227951,73.7,USD,MX,UTILITY_BILL,ONLINE,D0132,0
T0000065,C00231,2025-10-24 06:00:05.227951,114.89,USD,GB,ONLINE_SUBSCRIPTION,ATM,D0213,0
T0000066,C00384,2025-11-02 00:33:52.227951,10.0,USD,GB,TRAVEL,POS,D0278,0
T0000067,C00252,2025-11-22 12:36:56.227951,21.55,USD,GB,ONLINE_SUBSCRIPTION,POS,D0290,0
T0000068,C00291,2025-09-13 15:58:04.227951,4.17,USD,US,GROCERIES,MOBILE,D0320,0
T0000069,C00204,2025-10-29 11:48:56.227951,38.0,USD,US,TRAVEL,MOBILE,D0102,0
T0000070,C00361,2025-10-29 04:01:35.227951,10.27,USD,US,ONLINE_SUBSCRIPTION,POS,D0226,0
T0000071,C00004,2025-10-27 13:54:44.227951,2.03,USD,DE,CLOTHING,ATM,D0319,0
T0000072,C00259,2025-10-20 08:30:48.227951,2.55,USD,MX,UTILITY_BILL,POS,D0047,0
T0000073,C00361,2025-09-13 22:54:50.227951,29.03,USD,US,ELECTRONICS,ATM,D0268,0
T0000074,C00366,2025-10-06 02:07:12.227951,25.35,USD,MX,TRAVEL,POS,D0146,0
T0000075,C00267,2025-10-04 08:39:10.227951,17.24,USD,GB,GROCERIES,MOBILE,D0175,0
T0000076,C00369,2025-10-10 13:25:59.227951,88.36,USD,US,CLOTHING,MOBILE,D0312,0
T0000077,C00307,2025-10-19 04:54:02.227951,20.32,USD,CN,UTILITY_BILL,ONLINE,D0380,0
T0000078,C00212,2025-09-16 17:22:34.227951,205.95,USD,CA,ONLINE_SUBSCRIPTION,POS,D0235,0
T0000079,C00017,2025-11-06 19:25:50.227951,22.37,USD,US,ELECTRONICS,ATM,D0118,0
T0000080,C00485,2025-10-17 07:55:34.227951,9.08,USD,MX,RESTAURANT,MOBILE,D0312,0
T0000081,C00273,2025-09-16 00:20:00.227951,1.99,USD,MX,ATM_WITHDRAWAL,POS,D0334,0
T0000082,C00022,2025-09-15 15:19:43.227951,23.06,USD,CN,GROCERIES,ATM,D0012,0
T0000083,C00123,2025-09-27 17:39:03.227951,16.78,USD,US,TRAVEL,POS,D0364,0
T0000084,C00145,2025-11-04 03:00:13.227951,15.4,USD,CN,GROCERIES,POS,D0242,0
T0000085,C00491,2025-11-17 04:39:47.227951,4.56,USD,IN,ATM_WITHDRAWAL,POS,D0320,0
T0000086,C00485,2025-11-28 13:30:02.227951,24.48,USD,US,GAMBLING,ATM,D0017,0
T0000087,C00229,2025-09-24 05:18:42.227951,77.76,USD,US,ONLINE_SUBSCRIPTION,ATM,D0062,0
T0000088,C00407,2025-11-11 04:14:38.227951,8.26,USD,CA,RESTAURANT,ONLINE,D0392,0
T0000089,C00375,2025-10-31 02:23:48.227951,29.75,USD,US,ONLINE_SUBSCRIPTION,POS,D0353,0
T0000090,C00230,2025-11-08 22:09:05.227951,50.82,USD,US,GROCERIES,POS,D0392,0
T0000091,C00296,2025-10-17 07:57:12.227951,30.81,USD,US,ONLINE_SUBSCRIPTION,ONLINE,D0058,0
T0000092,C00125,2025-11-30 04:52:31.227951,14.26,USD,US,CLOTHING,ONLINE,D0260,0
T0000093,C00222,2025-11-29 17:08:47.227951,29.47,USD,DE,CLOTHING,ONLINE,D0190,0
T0000094,C00065,2025-09-16 18:58:20.227951,21.53,USD,GB,RESTAURANT,POS,D0171,0
T0000095,C00393,2025-10-31 01:11:44.227951,19.57,USD,CN,ELECTRONICS,ONLINE,D0087,0
T0000096,C00475,2025-10-29 00:12:14.227951,6.57,USD,CA,GROCERIES,ONLINE,D0190,0
T0000097,C00074,2025-09-26 08:44:35.227951,7.67,USD,GB,CLOTHING,ONLINE,D0259,0
T0000098,C00294,2025-11-03 18:43:04.227951,37.31,USD,US,TRAVEL,ONLINE,D0173,0
T0000099,C00265,2025-11-01 09:38:58.227951,269.8,USD,GB,CLOTHING,ONLINE,D0354,0
T0000100,C00065,2025-11-27 22:56:45.227951,18.98,USD,US,CLOTHING,ATM,D0126,0
T0000101,C00260,2025-11-20 10:12:30.227951,39.08,USD,US,ATM_WITHDRAWAL,POS,D0112,0
T0000102,C00283,2025-10-06 03:11:00.227951,14.75,USD,CN,RESTAURANT,ONLINE,D0006,0
T0000103,C00219,2025-11-19 12:09:25.227951,4.5,USD,US,ELECTRONICS,POS,D0240,0
T0000104,C00335,2025-09-16 19:57:18.227951,1.04,USD,US,UTILITY_BILL,MOBILE,D0309,0
T0000105,C00213,2025-10-04 01:08:21.227951,31.98,USD,DE,CRYPTO_EXCHANGE,POS,D0256,0
T0000106,C00167,2025-09-07 00:38:03.227951,44.29,USD,IN,CLOTHING,POS,D0067,0
T0000107,C00209,2025-11-20 07:52:47.227951,102.41,USD,MX,CLOTHING,ATM,D0396,0
T0000108,C00326,2025-09-18 19:18:34.227951,81.76,USD,CN,ELECTRONICS,POS,D0302,0
T0000109,C00021,2025-10-15 02:25:30.227951,96.04,USD,US,GROCERIES,POS,D0362,0
T0000110,C00471,2025-09-10 01:54:16.227951,4.2,USD,DE,RESTAURANT,ONLINE,D0234,0
T0000111,C00362,2025-10-20 10:58:07.227951,9.15,USD,CN,RESTAURANT,ATM,D0255,0
T0000112,C00279,2025-11-03 11:37:28.227951,15.59,USD,IN,TRAVEL,POS,D0147,0
T0000113,C00372,2025-10-24 14:50:30.227951,38.97,USD,CA,ATM_WITHDRAWAL,ONLINE,D0307,0
T0000114,C00345,2025-11-21 17:48:57.227951,18.41,USD,US,UTILITY_BILL,ONLINE,D0340,0
T0000115,C00193,2025-10-06 17:08:19.227951,8.26,USD,GB,ELECTRONICS,MOBILE,D0252,0
T0000116,C00196,2025-09-22 00:52:36.227951,49.41,USD,GB,RESTAURANT,POS,D0371,0
T0000117,C00346,2025-10-16 09:35:25.227951,24.24,USD,US,ONLINE_SUBSCRIPTION,POS,D0111,0
T0000118,C00086,2025-11-08 08:00:53.227951,24.28,USD,CN,UTILITY_BILL,ONLINE,D0191,0
T0000119,C00493,2025-11-13 14:09:24.227951,28.89,USD,GB,TRAVEL,MOBILE,D0313,0
T0000120,C00231,2025-11-23 01:45:12.227951,41.03,USD,IN,TRAVEL,ONLINE,D0221,0
T0000121,C00481,2025-11-03 22:19:25.227951,100.6,USD,CN,UTILITY_BILL,POS,D0293,0
T0000122,C00486,2025-11-12 13:25:36.227951,13.15,USD,CA,GROCERIES,POS,D0311,0
T0000123,C00482,2025-10-20 03:12:50.227951,45.27,USD,US,CLOTHING,MOBILE,D0165,0
T0000124,C00038,2025-11-16 11:48:57.227951,71.84,USD,US,CLOTHING,ATM,D0369,0
T0000125,C00223,2025-11-19 02:14:31.227951,31.44,USD,US,ELECTRONICS,POS,D0044,0
T0000126,C00466,2025-11-05 20:07:21.227951,4.84,USD,MX,TRAVEL,ATM,D0296,0
T0000127,C00197,2025-11-17 03:20:42.227951,25.58,USD,US,RESTAURANT,ONLINE,D0343,0
T0000128,C00222,2025-09-06 11:10:57.227951,26.28,USD,MX,GAMBLING,POS,D0161,0
T0000129,C00350,2025-11-25 16:02:01.227951,78.46,USD,CA,RESTAURANT,ATM,D0139,0
T0000130,C00390,2025-11-21 20:41:13.227951,13.39,USD,US,ONLINE_SUBSCRIPTION,POS,D0110,0
T0000131,C00275,2025-11-24 20:25:36.227951,6.6,USD,US,GROCERIES,POS,D0287,0
T0000132,C00213,2025-11-17 17:30:53.227951,156.44,USD,CA,RESTAURANT,ONLINE,D0055,0
T0000133,C00060,2025-10-27 19:11:09.227951,3.56,USD,US,ELECTRONICS,MOBILE,D0199,0
T0000134,C00173,2025-09-18 03:41:42.227951,106.47,USD,GB,GROCERIES,POS,D0008,0
T0000135,C00151,2025-10-16 20:32:49.227951,23.98,USD,CN,RESTAURANT,ONLINE,D0383,0
T0000136,C00482,2025-11-12 17:42:10.227951,8.15,USD,US,RESTAURANT,ATM,D0094,0
T0000137,C00281,2025-10-05 08:12:10.227951,32.53,USD,US,CLOTHING,ONLINE,D0236,0
T0000138,C00310,2025-11-03 20:53:28.227951,9.84,USD,US,RESTAURANT,POS,D0063,0
T0000139,C00174,2025-11-23 17:58:53.227951,29.52,USD,GB,CLOTHING,ATM,D0313,0
T0000140,C00318,2025-10-15 12:22:36.227951,37.53,USD,US,UTILITY_BILL,ONLINE,D0326,0
T0000141,C00336,2025-11-26 06:58:44.227951,13.0,USD,US,RESTAURANT,ONLINE,D0041,0
T0000142,C00214,2025-11-03 19:46:27.227951,13.13,USD,US,CLOTHING,ONLINE,D0015,0
T0000143,C00470,2025-12-01 10:34:31.227951,8.79,USD,GB,GROCERIES,POS,D0027,0
T0000144,C00493,2025-10-17 00:31:01.227951,16.43,USD,CN,RESTAURANT,POS,D0045,0
T0000145,C00318,2025-10-10 15:59:31.227951,57.35,USD,DE,GAMBLING,POS,D0121,0
T0000146,C00246,2025-10-11 12:46:27.227951,38.38,USD,US,GROCERIES,POS,D0345,0
T0000147,C00082,2025-09-06 04:07:33.227951,16.27,USD,US,CLOTHING,POS,D0173,0
T0000148,C00276,2025-11-15 07:31:03.227951,7.23,USD,GB,RESTAURANT,POS,D0097,0
T0000149,C00458,2025-10-19 05:58:02.227951,7.98,USD,US,RESTAURANT,POS,D0372,0
T0000150,C00242,2025-09-10 10:22:19.227951,6.56,USD,GB,CRYPTO_EXCHANGE,POS,D0019,0
T0000151,C00160,2025-09-18 11:59:09.227951,26.53,USD,MX,GROCERIES,POS,D0013,0
T0000152,C00077,2025-09-16 00:25:19.227951,2.12,USD,US,RESTAURANT,ONLINE,D0236,0
T0000153,C00344,2025-11-21 12:14:34.227951,22.18,USD,CA,ATM_WITHDRAWAL,ONLINE,D0065,0
T0000154,C00449,2025-11-14 15:00:26.227951,8.22,USD,GB,RESTAURANT,MOBILE,D0182,0
T0000155,C00485,2025-10-30 08:51:33.227951,119.72,USD,US,ELECTRONICS,ATM,D0128,0
T0000156,C00275,2025-11-16 23:45:49.227951,31.27,USD,GB,RESTAURANT,ONLINE,D0127,0
T0000157,C00412,2025-09-13 02:10:35.227951,28.24,USD,IN,RESTAURANT,POS,D0067,0
T0000158,C00330,2025-11-10 07:51:30.227951,107.97,USD,US,TRAVEL,POS,D0356,0
T0000159,C00074,2025-10-29 12:08:11.227951,20.33,USD,US,GROCERIES,ONLINE,D0070,0
T0000160,C00398,2025-10-21 17:12:53.227951,5.46,USD,GB,GROCERIES,POS,D0397,0
T0000161,C00289,2025-10-28 16:16:56.227951,20.32,USD,US,ATM_WITHDRAWAL,ATM,D0214,0
T0000162,C00083,2025-11-01 00:31:59.227951,17.27,USD,US,GROCERIES,ONLINE,D0118,0
T0000163,C00172,2025-11-04 18:53:02.227951,3.36,USD,US,GROCERIES,ONLINE,D0093,0
T0000164,C00424,2025-11-23 17:03:41.227951,20.88,USD,CA,ONLINE_SUBSCRIPTION,ONLINE,D0159,0
T0000165,C00376,2025-11-06 01:07:24.227951,72.77,USD,IN,CLOTHING,ATM,D0393,0
T0000166,C00075,2025-10-13 19:05:27.227951,24.96,USD,US,GROCERIES,ATM,D0208,0
T0000167,C00215,2025-10-12 18:39:33.227951,10.72,USD,US,ATM_WITHDRAWAL,POS,D0273,0
T0000168,C00235,2025-09-19 12:06:38.227951,6.43,USD,DE,GROCERIES,POS,D0343,0
T0000169,C00492,2025-11-27 04:38:28.227951,6.28,USD,IN,CLOTHING,ONLINE,D0351,0
T0000170,C00323,2025-10-10 04:12:58.227951,17.86,USD,CA,TRAVEL,ONLINE,D0313,0
T0000171,C00475,2025-10-27 08:31:10.227951,6.5,USD,CN,UTILITY_BILL,ATM,D0319,0
T0000172,C00252,2025-09-15 01:09:55.227951,83.72,USD,US,TRAVEL,POS,D0391,0
T0000173,C00495,2025-10-10 00:05:42.227951,116.01,USD,GB,ATM_WITHDRAWAL,POS,D0128,0
T0000174,C00175,2025-10-30 20:20:36.227951,47.05,USD,GB,ELECTRONICS,ONLINE,D0374,0
T0000175,C00253,2025-10-18 03:33:55.227951,49.83,USD,MX,ELECTRONICS,POS,D0053,0
T0000176,C00167,2025-09-20 17:15:53.227951,30.72,USD,IN,RESTAURANT,MOBILE,D0098,0
T0000177,C00100,2025-09-14 23:08:21.227951,18.95,USD,CA,ATM_WITHDRAWAL,POS,D0081,0
T0000178,C00488,2025-09-22 18:43:02.227951,13.37,USD,US,CLOTHING,POS,D0019,0
T0000179,C00005,2025-10-19 09:29:01.227951,41.44,USD,CN,ONLINE_SUBSCRIPTION,ONLINE,D0045,0
T0000180,C00118,2025-09-28 18:43:29.227951,16.1,USD,MX,TRAVEL,ATM,D0360,0
T0000181,C00053,2025-12-03 16:07:50.227951,6.61,USD,US,UTILITY_BILL,POS,D0055,0
T0000182,C00471,2025-10-03 11:06:36.227951,13.05,USD,MX,GROCERIES,ATM,D0247,0
T0000183,C00202,2025-10-24 20:58:10.227951,13.35,USD,US,RESTAURANT,POS,D0340,0
T0000184,C00188,2025-10-28 15:23:40.227951,8.48,USD,CN,RESTAURANT,POS,D0162,0
T0000185,C00056,2025-11-13 11:05:41.227951,17.33,USD,US,RESTAURANT,MOBILE,D0049,0
T0000186,C00117,2025-11-25 17:05:10.227951,5.6,USD,GB,RESTAURANT,ATM,D0072,0
T0000187,C00326,2025-10-13 06:46:09.227951,35.01,USD,US,RESTAURANT,ONLINE,D0340,0
T0000188,C00288,2025-11-23 18:32:41.227951,7.67,USD,US,CLOTHING,POS,D0098,0
T0000189,C00149,2025-09-20 13:46:16.227951,8.44,USD,US,ATM_WITHDRAWAL,ATM,D0207,0
T0000190,C00142,2025-10-20 05:10:32.227951,16.95,USD,US,CLOTHING,ONLINE,D0053,0
T0000191,C00180,2025-09-17 08:53:47.227951,31.45,USD,US,CLOTHING,MOBILE,D0066,0
T0000192,C00187,2025-10-25 23:00:08.227951,6.35,USD,US,RESTAURANT,POS,D0048,0
T0000193,C00079,2025-11-27 13:51:18.227951,48.73,USD,DE,ONLINE_SUBSCRIPTION,ONLINE,D0160,0
T0000194,C00265,2025-10-23 22:20:11.227951,28.1,USD,MX,UTILITY_BILL,ATM,D0296,0
T0000195,C00186,2025-10-18 05:58:57.227951,31.56,USD,GB,UTILITY_BILL,POS,D0020,0
T0000196,C00466,2025-10-06 21:03:15.227951,12.38,USD,IN,ONLINE_SUBSCRIPTION,ATM,D0317,0
T0000197,C00414,2025-09-25 03:17:04.227951,22.9,USD,MX,ELECTRONICS,ONLINE,D0001,0
T0000198,C00277,2025-12-04 11:08:18.227951,15.55,USD,MX,GROCERIES,ONLINE,D0052,0
T0000199,C00218,2025-09-19 18:29:17.227951,18.06,USD,IN,ELECTRONICS,MOBILE,D0128,0
T0000200,C00207,2025-11-10 10:00:41.227951,60.62,USD,US,ONLINE_SUBSCRIPTION,ONLINE,D0189,0
T0000201,C00307,2025-11-30 13:35:40.227951,4.35,USD,DE,GROCERIES,ONLINE,D0338,0
T0000202,C00292,2025-09-09 16:24:38.227951,4.93,USD,US,ATM_WITHDRAWAL,ONLINE,D0396,0
T0000203,C00227,2025-10-23 21:18:58.227951,12.39,USD,IN,RESTAURANT,MOBILE,D0147,0
T0000204,C00368,2025-11-11 12:38:44.227951,18.0,USD,GB,CLOTHING,ONLINE,D0204,0
T0000205,C00363,2025-11-26 16:46:08.227951,45.78,USD,IN,ONLINE_SUBSCRIPTION,POS,D0163,0
T0000206,C00233,2025-10-15 15:58:14.227951,20.15,USD,US,GROCERIES,ONLINE,D0262,0
T0000207,C00367,2025-11-04 17:20:50.227951,29.34,USD,US,RESTAURANT,POS,D0311,0
T0000208,C00470,2025-11-22 12:25:26.227951,7.06,USD,CN,GAMBLING,POS,D0110,0
T0000209,C00383,2025-09-18 12:57:22.227951,37.33,USD,MX,GAMBLING,MOBILE,D0081,0
T0000210,C00481,2025-10-24 20:21:11.227951,2.44,USD,MX,UTILITY_BILL,ONLINE,D0102,0
T0000211,C00154,2025-11-01 08:29:43.227951,57.14,USD,US,UTILITY_BILL,POS,D0274,0
T0000212,C00273,2025-09-08 03:38:02.227951,11.85,USD,US,ATM_WITHDRAWAL,ONLINE,D0178,0
T0000213,C00089,2025-11-29 07:05:14.227951,39.54,USD,IN,RESTAURANT,ONLINE,D0196,0
T0000214,C00222,2025-11-01 23:01:11.227951,9.37,USD,DE,RESTAURANT,MOBILE,D0369,0
T0000215,C00159,2025-11-20 23:02:23.227951,31.11,USD,US,TRAVEL,ATM,D0305,0
T0000216,C00053,2025-10-19 07:34:29.227951,5.07,USD,GB,RESTAURANT,ONLINE,D0116,0
T0000217,C00153,2025-09-29 06:19:43.227951,31.33,USD,IN,ELECTRONICS,POS,D0326,0
T0000218,C00146,2025-11-22 12:17:36.227951,10.54,USD,US,GROCERIES,POS,D0319,0
T0000219,C00068,2025-11-20 14:04:40.227951,18.59,USD,US,TRAVEL,POS,D0156,0
T0000220,C00226,2025-12-04 22:27:32.227951,8.06,USD,US,GROCERIES,ONLINE,D0248,0
T0000221,C00439,2025-11-29 00:31:41.227951,84.38,USD,GB,GROCERIES,POS,D0316,0
T0000222,C00125,2025-09-30 10:01:40.227951,22.43,USD,IN,GAMBLING,POS,D0333,0
T0000223,C00288,2025-09-21 22:23:32.227951,15.23,USD,US,CLOTHING,ONLINE,D0274,0
T0000224,C00399,2025-11-03 19:15:57.227951,10.42,USD,US,UTILITY_BILL,ONLINE,D0038,0
T0000225,C00342,2025-11-10 13:36:14.227951,53.18,USD,US,RESTAURANT,ONLINE,D0170,0
T0000226,C00105,2025-09-10 16:31:40.227951,33.77,USD,IN,RESTAURANT,ATM,D0333,0
T0000227,C00454,2025-11-18 23:19:15.227951,73.96,USD,IN,RESTAURANT,ONLINE,D0320,0
T0000228,C00084,2025-10-20 06:34:42.227951,15.79,USD,DE,GROCERIES,ATM,D0039,0
T0000229,C00163,2025-09-19 21:04:39.227951,28.56,USD,US,GROCERIES,POS,D0001,0
T0000230,C00044,2025-10-15 07:54:23.227951,15.87,USD,MX,GROCERIES,ONLINE,D0329,0
T0000231,C00172,2025-09-21 04:20:39.227951,15.74,USD,GB,ATM_WITHDRAWAL,ATM,D0216,0
T0000232,C00228,2025-11-18 18:56:03.227951,79.97,USD,GB,ELECTRONICS,ONLINE,D0103,0
T0000233,C00164,2025-11-12 18:29:34.227951,18.38,USD,US,TRAVEL,ONLINE,D0147,0
T0000234,C00206,2025-09-25 18:54:40.227951,11.67,USD,MX,TRAVEL,POS,D0035,0
T0000235,C00169,2025-09-21 22:15:06.227951,55.65,USD,IN,ATM_WITHDRAWAL,POS,D0396,0
T0000236,C00427,2025-09-18 09:50:19.227951,11.46,USD,US,ELECTRONICS,POS,D0350,0
T0000237,C00477,2025-12-02 20:44:56.227951,1.73,USD,CA,RESTAURANT,POS,D0262,0
T0000238,C00474,2025-10-02 01:52:58.227951,4.45,USD,US,CLOTHING,ONLINE,D0331,0
T0000239,C00186,2025-11-09 00:12:47.227951,13.31,USD,US,GROCERIES,ONLINE,D0194,0
T0000240,C00310,2025-09-29 11:27:40.227951,7.4,USD,US,TRAVEL,ATM,D0224,0
T0000241,C00079,2025-10-10 17:51:38.227951,28.97,USD,US,CLOTHING,POS,D0226,0
T0000242,C00320,2025-11-05 23:01:53.227951,37.82,USD,GB,GROCERIES,POS,D0357,0
T0000243,C00387,2025-11-03 05:27:01.227951,37.08,USD,CN,ATM_WITHDRAWAL,ONLINE,D0190,0
T0000244,C00421,2025-11-29 06:13:59.227951,42.53,USD,CA,RESTAURANT,ONLINE,D0078,0
T0000245,C00151,2025-11-06 05:14:27.227951,88.67,USD,US,GROCERIES,POS,D0169,0
T0000246,C00261,2025-09-21 21:55:16.227951,18.13,USD,US,ATM_WITHDRAWAL,POS,D0144,0
T0000247,C00123,2025-09-11 00:50:47.227951,196.69,USD,US,RESTAURANT,ONLINE,D0082,0
T0000248,C00401,2025-11-25 00:19:54.227951,9.84,USD,US,GROCERIES,POS,D0047,0
T0000249,C00230,2025-10-31 19:43:55.227951,6.08,USD,US,ATM_WITHDRAWAL,ATM,D0328,0
T0000250,C00346,2025-10-23 09:45:11.227951,43.93,USD,US,GROCERIES,ONLINE,D0130,0
T0000251,C00235,2025-11-30 10:32:12.227951,35.15,USD,MX,ATM_WITHDRAWAL,POS,D0391,0
T0000252,C00164,2025-10-20 22:31:26.227951,21.9,USD,CA,ELECTRONICS,ONLINE,D0052,0
T0000253,C00328,2025-10-04 23:00:26.227951,37.27,USD,US,GROCERIES,ATM,D0236,0
T0000254,C00289,2025-10-08 08:11:44.227951,11.81,USD,US,ELECTRONICS,ONLINE,D0370,0
T0000255,C00402,2025-11-29 00:15:59.227951,16.92,USD,DE,RESTAURANT,ONLINE,D0227,0
T0000256,C00192,2025-10-17 14:59:21.227951,27.17,USD,DE,CLOTHING,POS,D0138,0
T0000257,C00036,2025-10-10 03:13:22.227951,114.39,USD,DE,GROCERIES,ONLINE,D0156,0
